lon lat veast_eu vnorth_eu seast snorth covassumed0 name type
106.68377 37.45085 3.76718 -1.96282 0.34649 0.21793 0 d098 GNSS
35.62970 32.98119 -3.54562 10.24414 0.11842 0.22818 0 kn08 GNSS
77.60214 34.12857 -2.62813 19.79293 0.79113 0.29170 0 rscl GNSS
106.50900 33.91500 5.29352 -1.53515 0.30081 0.26216 0 h001 GNSS
106.35300 37.81100 3.87731 -1.76308 0.26861 0.36435 0 d096 GNSS
105.98500 36.27900 6.28781 -0.93059 0.23277 0.33266 0 g013 GNSS
105.29400 36.50400 8.44256 -1.51526 0.17343 0.29990 0 g014 GNSS
106.58100 35.45800 5.75738 -2.59784 0.22856 0.31599 0 g024 GNSS
105.79400 35.07900 5.96293 -2.57043 0.25082 0.27314 0 g030 GNSS
106.40100 34.51600 5.50860 -3.01866 0.30444 0.32847 0 g036 GNSS
104.10400 35.03800 7.76765 -0.10206 0.48532 0.23574 0 g114 GNSS
104.54200 35.04600 7.63205 -0.38063 0.33232 0.22453 0 g116 GNSS
104.94000 34.71400 7.07809 -1.68558 0.48711 0.36705 0 g120 GNSS
104.91500 34.46700 7.25722 -1.34464 0.32241 0.22850 0 g121 GNSS
106.15500 33.34000 5.71631 -2.53516 0.31457 0.23855 0 h007 GNSS
105.22600 32.57100 5.93893 -2.01590 0.38483 0.25406 0 h010 GNSS
100.93600 37.96700 4.46932 2.18167 0.32852 0.24514 0 g065 GNSS
100.16200 37.31500 7.94577 3.04931 0.26046 0.16244 0 g075 GNSS
104.48000 34.85000 7.85647 0.54077 0.37623 0.52517 0 g119 GNSS
106.56000 34.73279 6.37802 -2.03487 0.23017 0.28764 0 g362 GNSS
84.24523 41.78033 2.05587 12.21008 0.30881 0.42700 0 i056 GNSS
85.53800 38.08100 -1.24769 11.52670 0.48523 0.39927 0 jb46 GNSS
102.99100 33.57100 10.99623 -0.75697 0.28556 0.29649 0 h026 GNSS
104.57100 32.40500 6.25674 -2.17869 0.41577 0.26013 0 h032 GNSS
99.53567 25.46350 -1.30329 -10.73094 0.77455 0.97117 0 h205 GNSS
106.81400 39.68000 3.13727 -2.08472 0.31061 0.28647 0 d084 GNSS
104.50500 40.73900 2.34522 -0.22146 0.18624 0.23960 0 g042 GNSS
103.61300 32.59100 8.04380 -2.36573 0.30907 0.24806 0 h030 GNSS
29.92893 40.42473 -19.64681 -2.73502 1.34955 0.67529 0 iuck GNSS
42.45743 37.52791 -7.40132 15.40561 0.57501 0.65086 0 srnk GNSS
103.00357 29.97543 7.39018 -3.98668 0.31208 0.31727 0 h065 GNSS
35.60805 32.97425 -3.67427 9.53169 0.10347 0.29923 0 kn02 GNSS
109.97375 41.76469 2.00693 -1.22247 0.29991 0.30182 0 d040 GNSS
115.67350 37.69664 4.66801 -1.70279 0.32542 0.59826 0 c011 GNSS
106.44300 38.88800 3.51213 -0.49840 0.34848 0.44464 0 d367 GNSS
