lon lat veast_eu vnorth_eu vup seast snorth sup covassumed0 covassumed0 covassumed0 name type
12.87869 49.14430 -0.01034 0.12801 0.21540 0.06634 0.08277 0.29637 0 0 0 wtzr GNSS
12.34494 45.43580 -0.05448 1.80360 -1.21664 0.17168 0.16640 0.53611 0 0 0 ven1 GNSS
91.10400 29.65733 17.55275 18.74581 0.91710 0.27903 0.28391 0.34038 0 0 0 lhas GNSS
50.60814 26.20914 3.51550 21.71878 -0.47273 0.23473 0.24600 0.37007 0 0 0 bahr GNSS
80.95576 26.91221 8.31973 34.69144 -2.23907 0.45306 0.33227 0.62237 0 0 0 lcki GNSS
66.88550 39.13471 -0.80268 1.30668 -1.03753 0.38933 0.34851 0.66648 0 0 0 kit3 GNSS
7.46510 46.87710 0.00564 0.38940 0.76389 0.08705 0.09215 0.20222 0 0 0 zimm GNSS
1.48122 43.55962 0.07278 0.16871 -0.31302 0.08387 0.08532 0.24989 0 0 0 toul GNSS
74.69427 42.67977 -1.19682 2.90989 0.85990 0.26253 0.25001 0.78132 0 0 0 pol2 GNSS
16.70450 40.64910 0.79863 4.36645 0.44242 0.10667 0.09357 0.17712 0 0 0 mate GNSS
11.27967 48.08604 0.03028 0.24033 -0.02805 0.09488 0.10115 0.46630 0 0 0 ober GNSS
88.17303 39.02316 1.14047 8.99358 -0.96410 0.52011 0.39606 0.57488 0 0 0 xjrq GNSS
101.40171 37.46792 8.08973 2.31229 0.24785 0.27766 0.17250 0.25850 0 0 0 qhme GNSS
15.49348 47.06710 0.51181 0.66231 -0.13454 0.10625 0.13609 0.37098 0 0 0 graz GNSS
23.93248 38.07856 -16.33550 -25.48448 0.17200 0.28739 0.21777 0.50690 0 0 0 dion GNSS
4.38757 51.98609 -0.19211 -0.26644 -0.46839 0.10978 0.12506 0.22891 0 0 0 delf GNSS
11.89187 45.41101 -0.06130 1.65368 -0.65734 0.10983 0.24995 0.49560 0 0 0 pado GNSS
77.01690 43.17873 -0.63540 3.23748 0.47121 0.27084 0.44295 0.25889 0 0 0 sele GNSS
0.33591 50.86734 -0.22047 0.18778 -0.09671 0.08023 0.07268 0.23105 0 0 0 hers GNSS
11.12196 42.42803 -0.92031 0.64512 -0.23158 0.17301 0.13688 0.48548 0 0 0 maon GNSS
12.10744 42.41996 -1.36694 0.80898 0.81738 0.29821 0.29955 0.63624 0 0 0 virb GNSS
100.23631 38.18434 5.00988 2.24245 0.73048 0.31086 0.19861 0.80712 0 0 0 qhql GNSS
29.01934 41.10445 -0.80713 -1.32234 -0.04673 0.30268 0.26063 0.27151 0 0 0 ista GNSS
