lon lat veast_eu vnorth_eu vup seast snorth sup covassumed0 covassumed0 covassumed0 name type
12.87869 49.14430 20.31729 15.56151 0.21540 0.06644 0.08264 0.29637 0 0 0 wtzr GNSS
12.34494 45.43580 21.02560 17.29476 -1.21664 0.17150 0.16641 0.53636 0 0 0 ven1 GNSS
91.10400 29.65733 46.35614 15.82361 0.91710 0.28439 0.28868 0.34031 0 0 0 lhas GNSS
50.60814 26.20914 31.21998 30.12643 -0.47273 0.23505 0.24601 0.37007 0 0 0 bahr GNSS
80.95576 26.91221 37.08723 34.69512 -2.23907 0.44926 0.33685 0.62294 0 0 0 lcki GNSS
66.88550 39.13471 27.86777 5.35343 -1.03753 0.38883 0.34845 0.66622 0 0 0 kit3 GNSS
7.46510 46.87710 19.78628 16.34019 0.76389 0.08742 0.09215 0.20224 0 0 0 zimm GNSS
1.48122 43.55962 19.47489 16.52542 -0.31302 0.08373 0.08514 0.24986 0 0 0 toul GNSS
74.69427 42.67977 27.53921 4.72540 0.85990 0.26270 0.24955 0.78194 0 0 0 pol2 GNSS
16.70450 40.64910 23.61263 19.35016 0.44242 0.10645 0.09384 0.17704 0 0 0 mate GNSS
11.27967 48.08604 20.28793 15.84129 -0.02805 0.09483 0.10106 0.46636 0 0 0 ober GNSS
88.17303 39.02316 30.04844 6.89934 -0.96410 0.52017 0.39579 0.57474 0 0 0 xjrq GNSS
101.40171 37.46792 36.48737 -3.50110 0.24785 0.27763 0.17215 0.25833 0 0 0 qhme GNSS
15.49348 47.06710 21.83736 15.79450 -0.13454 0.10683 0.13629 0.37099 0 0 0 graz GNSS
23.93248 38.07856 8.02492 -11.52766 0.17200 0.28723 0.21819 0.50696 0 0 0 dion GNSS
4.38757 51.98609 17.57545 15.91525 -0.46839 0.10988 0.12531 0.22888 0 0 0 delf GNSS
11.89187 45.41101 20.93721 17.19226 -0.65734 0.10962 0.24997 0.49566 0 0 0 pado GNSS
77.01690 43.17873 28.10638 4.38173 0.47121 0.27025 0.44377 0.25878 0 0 0 sele GNSS
0.33591 50.86734 16.97112 16.60196 -0.09671 0.08025 0.07273 0.23110 0 0 0 hers GNSS
11.12196 42.42803 20.57072 16.26208 -0.23158 0.17301 0.13689 0.48548 0 0 0 maon GNSS
12.10744 42.41996 20.30564 16.32520 0.81738 0.29818 0.29948 0.63637 0 0 0 virb GNSS
100.23631 38.18434 33.45043 -3.25254 0.73048 0.31095 0.19837 0.80692 0 0 0 qhql GNSS
29.01934 41.10445 23.91618 11.77815 -0.04673 0.30112 0.26222 0.27172 0 0 0 ista GNSS
14.78561 49.91370 20.24409 15.22719 0.20604 0.07620 0.06869 0.35184 0 0 0 gope GNSS
5.35678 43.27846 20.08219 16.19464 -0.52248 0.09299 0.08831 0.23574 0 0 0 mars GNSS
8.61633 44.92313 20.31162 16.30755 -0.32154 0.16017 0.20245 0.54804 0 0 0 ale0 GNSS
9.11116 39.22927 21.56235 16.19300 -0.43772 0.08687 0.09488 0.22452 0 0 0 cag1 GNSS
32.75848 39.88736 2.15599 11.18491 -1.04979 0.52953 0.35357 0.20648 0 0 0 ankr GNSS
33.39645 35.14099 19.42065 15.69995 0.03878 0.12397 0.14697 0.44027 0 0 0 nico GNSS
34.76314 30.59760 23.54620 19.67823 0.92934 0.10413 0.09863 0.22431 0 0 0 ramo GNSS
8.40904 49.01068 19.49881 15.98800 -0.13362 0.08344 0.08009 0.21551 0 0 0 karl GNSS
11.35546 44.50252 21.97589 19.03552 -1.02142 0.30434 0.36343 0.90938 0 0 0 blgn GNSS
13.78816 45.66054 21.08584 17.80338 -0.20042 0.14365 0.06569 0.31084 0 0 0 rtri GNSS
102.79732 25.02961 32.51182 -18.38062 -0.29911 0.91604 0.71086 0.44554 0 0 0 kunm GNSS
14.98979 36.87586 21.42022 19.84412 -0.72991 0.11110 0.09574 0.15977 0 0 0 not1 GNSS
29.45069 40.78672 19.79704 11.66110 -0.80074 0.39243 0.22301 0.23547 0 0 0 tubi GNSS
4.35913 50.79785 17.79290 16.20757 0.38961 0.11883 0.08061 0.20273 0 0 0 brus GNSS
