lon lat veast_eu vnorth_eu seast snorth covassumed0 types names studies
106.68377 37.45085 3.77736 -1.97575 0.34540 0.21914 0 GNSS d098_db06 hao19(hao19)_hao21(hao21)_li17(li17)_li21(li21)_pan20(pan20)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
35.62970 32.98119 -3.55370 10.20685 0.11814 0.22745 0 GNSS kn03_kn04_kn05_kn06_kn07_kn08_kn09_kn10_kn11_kn12 hamiel21(hamiel21)
77.60214 34.12857 -2.63520 19.78603 0.79193 0.29262 0 GNSS leh__rscl_sabu jade14(jade14)_jade17(jade17)_jade20(jade20)_kreemer14(Banerjee_GRL_2008)_kreemer14(Ischuk_JGR_2013)_kreemer14(Jade_GSAB_2004)_kreemer14(Mahesh_GondwanaResearch_2012)_perry19(perry19)_rui19(Banerjee_GRL_2008)_wang17(wang17)_zhang24(wang21)_zhou16(Zubovich_Tectonics_2010)
106.50900 33.91500 5.29065 -1.54124 0.30131 0.26090 0 GNSS h001 gan22(Cmonoc_I)_hao19(hao19)_hao21(hao21)_li17(li17)_li21(li21)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
106.35300 37.81100 3.88052 -1.77091 0.26753 0.36754 0 GNSS d096 hao19(hao19)_hao21(hao21)_li17(li17)_li21(li21)_pan20(pan20)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
105.98500 36.27900 6.28732 -0.93781 0.23265 0.33178 0 GNSS g013 hao19(hao19)_hao21(hao21)_li17(li17)_li21(li21)_pan20(pan20)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
105.29400 36.50400 8.44303 -1.52236 0.17312 0.29921 0 GNSS g014 hao19(hao19)_hao21(hao21)_li17(li17)_li21(li21)_pan20(pan20)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
106.58100 35.45800 5.75545 -2.60580 0.22723 0.31406 0 GNSS g024 hao19(hao19)_hao21(hao21)_li17(li17)_li21(li21)_pan20(pan20)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
105.79400 35.07900 5.95958 -2.57793 0.25157 0.27508 0 GNSS g030 hao19(hao19)_hao21(hao21)_li17(li17)_li21(li21)_pan20(pan20)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
106.40100 34.51600 5.50414 -3.02642 0.30550 0.32789 0 GNSS g036 hao19(hao19)_hao21(hao21)_li17(li17)_li21(li21)_pan20(pan20)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
104.10400 35.03800 7.76640 -0.10874 0.48652 0.23467 0 GNSS g114 hao19(hao19)_hao21(hao21)_li17(li17)_li21(li21)_pan20(pan20)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
104.54200 35.04600 7.63023 -0.38637 0.33411 0.22373 0 GNSS g116 hao19(hao19)_hao21(hao21)_li17(li17)_li21(li21)_pan20(pan20)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
104.94000 34.71400 7.07429 -1.68567 0.48734 0.36759 0 GNSS g120 hao19(hao19)_hao21(hao21)_li17(li17)_li21(li21)_pan20(pan20)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
104.91500 34.46700 7.25669 -1.35081 0.32387 0.22953 0 GNSS g121 hao19(hao19)_hao21(hao21)_li17(li17)_li21(li21)_pan20(pan20)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
106.15500 33.34000 5.71192 -2.52894 0.31733 0.23872 0 GNSS h007 gan22(Cmonoc_I)_hao19(hao19)_hao21(hao21)_wang17(wang17)_wang22(wang22)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
105.22600 32.57100 5.93253 -2.02497 0.38681 0.25381 0 GNSS h010 gan22(Cmonoc_I)_hao19(hao19)_hao21(hao21)_wang17(wang17)_wang22(wang22)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
100.93600 37.96700 4.47339 2.18258 0.33040 0.24492 0 GNSS g065 hao19(hao19)_hao24(hao24)_li17(li17)_li21(li21)_pan20(pan20)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
100.16200 37.31500 7.94711 3.04981 0.25837 0.16186 0 GNSS g075 hao19(hao19)_hao24(hao24)_li17(li17)_li21(li21)_pan20(pan20)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
104.48000 34.85000 7.85378 0.53373 0.37741 0.52538 0 GNSS g119 hao19(hao19)_hao21(hao21)_li17(li17)_li21(li21)_pan20(pan20)_xiong21(xiong21)_zhao17(zhao17)_zheng17(zheng17)
106.56000 34.73279 6.37442 -2.04368 0.22936 0.28849 0 GNSS g362_sn01 hao21(hao21)_li17(li17)_li21(li21)_wangshen20(wangshen20)_xiong21(xiong21)_zhao17(zhao17)
85.53800 38.08100 -1.24865 11.53123 0.48661 0.40023 0 GNSS i036_jb46 hao19(hao19)_li18(li18)_pan19(pan19)_wang17(wang17)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
102.99100 33.57100 10.99318 -0.76318 0.28827 0.29728 0 GNSS h026 gan22(Cmonoc_I)_hao19(hao19)_hao21(hao21)_hao24(hao24)_wang17(wang17)_wang22(wang22)_wangshen20(wangshen20)_xiong21(xiong21)_zheng17(zheng17)
