lon lat veast_eu vnorth_eu vup seast snorth sup covassumed0 covassumed0 covassumed0 types names studies
12.87869 49.14430 20.31916 15.56350 0.21540 0.06630 0.08281 0.29675 0 0 0 GNSS wrlg_wt21_wtz2_wtza_wtzj_wtzl_wtzm_wtzr_wtzs_wtzt_wtzz bitharis24(bitharis24)_dagostino20(dagostino20)_demets20(demets20)_eposuga(eposuga)_eurefedv(eurefedv)_measures(measures)_ozdemir19(ozdemir19)_pinavaldes22(pinavaldes22)_pintori22(pintori22)_rudenko13(rudenko13)_serpelloni13(serpelloni13)_serpelloni15(serpelloni15)_serpelloni22(serpelloni22)_vardic21(vardic21)_wangshen20(wangshen20)
12.34494 45.43580 21.02310 17.29277 -1.21664 0.17155 0.16638 0.53704 0 0 0 GNSS psal_ve01_vear_ven1_ven2_vene ULR5(ULR5)_eposuga(eposuga)_eurefedv(eurefedv)_measures(measures)_pinavaldes22(pinavaldes22)_pintori22(pintori22)_rudenko13(rudenko13)_serpelloni13(serpelloni13)_serpelloni15(serpelloni15)_serpelloni22(serpelloni22)
91.10400 29.65733 46.36420 15.69857 0.95481 0.23557 0.21526 0.26454 0 0 0 GNSS lhas_lhaz ULR5(ULR5)_castroperdomo22(castroperdomo22)_fang22(fang22)_fu12(fu12)_jade17(jade17)_jade20(jade20)_measures(measures)_nagale22(nagale22)_pan21_vert(pan21_vert)_pappachen21(pappachen21)_rudenko13(rudenko13)_rui19(rui19)_serpelloni22(serpelloni22)_vila20(vila20)_wang17(wang17)_wangshen20(wangshen20)_yadav21_2(yadav21_2)_zhao23_vert(zhao23_vert)_zheng17(zheng17)_zhou16(zhou16)
50.60814 26.20914 31.20937 30.15120 -0.47273 0.21320 0.23725 0.37048 0 0 0 GNSS bahr_bhr1_bhr2_bhr3_bhr4 ULR5(ULR5)_jade17(jade17)_khorrami19(khorrami19)_measures(measures)_palano18(palano18)_pappachen21(pappachen21)_rudenko13(rudenko13)_rui19(vernant14)_serpelloni22(serpelloni22)_vardic21(vardic21)_viltres22(viltres22)_wangshen20(wangshen20)
80.95576 26.91221 37.06426 34.68421 -2.23907 0.44891 0.33040 0.62188 0 0 0 GNSS lck1_lck2_lck3_lck4_lcki_lckm demets20(demets20)_fang22(fang22)_jade17(jade17)_jade20(jade20)_jouanne17(jouanne17)_measures(measures)_nagale22(nagale22)_pappachen21(pappachen21)_serpelloni22(serpelloni22)_vardic21(vardic21)_vila20(vila20)_wangshen20(wangshen20)_yadav21_2(yadav21_2)
66.88552 39.13469 27.92942 5.43384 -1.14831 0.41499 0.31791 0.54139 0 0 0 GNSS kit3_kitg ULR5(ULR5)_castroperdomo22(castroperdomo22)_jade17(jade17)_jade20(jade20)_measures(measures)_ozdemir19(ozdemir19)_pan19(pan19)_pan22_vert(pan22_vert)_pappachen21(pappachen21)_rudenko13(rudenko13)_rui19(rui19)_serpelloni22(serpelloni22)_sokhadze18(sokhadze18)_wang17(wang17)_wangshen20(wangshen20)_zhou16(zhou16)
7.46510 46.87710 19.78355 16.33822 0.76389 0.08678 0.09196 0.20299 0 0 0 GNSS zim2_zim3_zimj_zimm bitharis24(bitharis24)_castroperdomo22(castroperdomo22)_demets20(demets20)_eposuga(eposuga)_eurefedv(eurefedv)_measures(measures)_nocquet16(nocquet16)_ozdemir19(ozdemir19)_pinavaldes22(pinavaldes22)_pintori22(pintori22)_rudenko13(rudenko13)_serpelloni13(serpelloni13)_serpelloni22(serpelloni22)
1.48122 43.55962 19.47462 16.52246 -0.31302 0.08386 0.08549 0.25006 0 0 0 GNSS tlia_tlse_tlsg_toul demets20(demets20)_eposuga(eposuga)_eurefedv(eurefedv)_measures(measures)_pinavaldes22(pinavaldes22)_pintori22(pintori22)_rudenko13(rudenko13)_serpelloni13(serpelloni13)_serpelloni15(serpelloni15)_serpelloni22(serpelloni22)_vardic21(vardic21)
74.69427 42.67977 27.53137 4.74160 1.07244 0.23761 0.23308 0.50410 0 0 0 GNSS pol2 ULR5(ULR5)_castroperdomo22(castroperdomo22)_dzwang20(dzwang20)_jade17(jade17)_jade20(jade20)_measures(measures)_ozdemir19(ozdemir19)_pan19(pan19)_pan21_vert(pan21_vert)_pan22_vert(pan22_vert)_pappachen21(pappachen21)_rui19(rui19)_serpelloni22(serpelloni22)_sokhadze18(sokhadze18)_wang17(wang17)_wangshen20(wangshen20)_zhou16(zhou16)
16.70450 40.64910 23.61124 19.35247 0.44242 0.10622 0.09576 0.17729 0 0 0 GNSS mat1_mate_matg ULR5(ULR5)_castroperdomo22(castroperdomo22)_dagostino20(dagostino20)_eposuga(eposuga)_eurefedv(eurefedv)_mantovani15(mantovani15)_measures(measures)_pinavaldes22(pinavaldes22)_rudenko13(rudenko13)_serpelloni13(serpelloni13)_serpelloni22(serpelloni22)_wangshen20(wangshen20)
